"run" "true_mean_all" "true_median_all" "true_mean_sig" "true_tau" "true_local_es.(-8,-7]" "true_local_es.(-7,-6]" "true_local_es.(-6,-5]" "true_local_es.(-5,-4]" "true_local_es.(-4,-3]" "true_local_es.(-3,-2]" "true_local_es.(-2,-1]" "true_local_es.(-1,0]" "true_local_es.(0,1]" "true_local_es.(1,2]" "true_local_es.(2,3]" "true_local_es.(3,4]" "true_local_es.(4,5]" "true_local_es.(5,6]" "true_local_es.(6,7]" "true_local_es.(7,8]" "es_mean_all_pe" "es_mean_all_lb" "es_mean_all_ub" "es_mean_sig_pe" "es_mean_sig_lb" "es_mean_sig_ub" "local_es1" "local_es2" "local_es3" "local_es4" "local_es5" "local_es6" "local_es7" "local_es8" "local_es9" "local_es10" "local_es11" "local_es12" "local_es13" "local_es14" "local_es15" "local_es16" "local_es1" "local_es2" "local_es3" "local_es4" "local_es5" "local_es6" "local_es7" "local_es8" "local_es9" "local_es10" "local_es11" "local_es12" "local_es13" "local_es14" "local_es15" "local_es16" "local_es1" "local_es2" "local_es3" "local_es4" "local_es5" "local_es6" "local_es7" "local_es8" "local_es9" "local_es10" "local_es11" "local_es12" "local_es13" "local_es14" "local_es15" "local_es16" "w.all1" "w.all2" "w.all3" "w.all4" "w.all5" "w.all6" "w.all7" "w.all8" "w.all9" "w.all10" "w.all11" "w.all12" "w.all13" "w.all14" "w.all15" "w.all16" "w.all17" "es_tau_pe" "es_tau_lb" "es_tau_ub" "ash_mean_all" "ash_mean_sig" "(-8,-7]" "(-7,-6]" "(-6,-5]" "(-5,-4]" "(-4,-3]" "(-3,-2]" "(-2,-1]" "(-1,0]" "(0,1]" "(1,2]" "(2,3]" "(3,4]" "(4,5]" "(5,6]" "(6,7]" "(7,8]" "ash_tau" "vw_mean_pe" "vw_mean_lb" "vw_mean_ub" "vw_tau_pe" "vw_tau_lb" "vw_tau_ub" "vw_weight1_pe" "vw_weight1_lb" "vw_weight1_ub" "vw_weight2_pe" "vw_weight2_lb" "vw_weight2_ub" "vw_mean_pos_pe" "vw_mean_pos_lb" "vw_mean__pos_ub" "vw_median_pos_pe" "vw_median_pos_lb" "vw_median_pos_ub" "vw_tau_pos_pe" "vw_tau_pos_lb" "vw_tau_pos_ub" "rma_mean_pe" "rma_tau"
1 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 NA NA NA NA NA 0.000999545802531999 NA NA 0.00652449783520791 NA NA -0.584375126971437 -0.00135951805468384 -0.0000146246448728291 0.00000367940889721758 0.0000217210739577988 0.0000607676196268963 0.000157031752165109 0.000397269732401329 0.000995074483954731 0.00248061507340648 0.00615511001080589 0.0150139204656591 0.0347067722014051 0.0708994410629886 0.118790661772084 0.308630811580952 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.00000063556018174629 0.995001170162062 0.00499819426375665 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.000000000000999999999989411 0.0141060753084555 NA NA 0.00613205173553076 0.00676213150743368 NA NA NA NA 0.000601230979524732 0.0017385952729687 0.00322898240485908 0.00487269935614348 0.00690298375057874 0.00940118817790574 0.0118929623304022 NA NA NA NA NA 0.0211092302623943 -0.000563554952305773 -0.0243724782769329 0.0232453683723214 0.0328563900704867 0 0.0742996315816156 1.2816954712278 0.571689428648216 1.99170151380738 1.13195373158586 0.399188527992782 1.86471893517894 0.02601187213638 NA 0.0685652749036713 0.021952771906451 NA 0.0597916362998725 0.0197044603342339 NA 0.0491229417200671 0.00662082266497921 0
2 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 NA NA NA NA NA 0.00402128714735348 NA NA 0.0301705008546183 NA NA -0.59794840521492 -0.597971895690652 -0.594302019818727 -0.534265629829348 -0.19871059295311 -0.0175663089927453 -0.000367445912492741 0.00198252511280582 0.00511616603179447 0.0124008235680057 0.0286588472271484 0.0599371830984063 0.105176535653637 0.148923068748155 0.177420080714793 0.228813956045553 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.00184029210695285 0.00000116254673452841 0.0000889190296963014 0.972367865954669 0.0257017603499477 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0000000000009999999999909 0.0409604546424944 NA NA 0.00555288301945353 -0.00166297155197031 NA NA NA NA -0.0615702282596448 -0.0198684226520031 -0.00514902083429922 0.00342157337279481 0.00929252686992334 0.0136926358444569 0.0183347268687542 NA NA NA NA NA 0.0387424240703327 -0.00253306424308692 -0.0259405356826746 0.0208744071965008 0 0 0.0650750528358519 0.805473434829112 0.395674801087498 1.21527206857073 0.752224024558785 0.292987168756708 1.21146088036086 NA NA 0.060278284962022 NA NA 0.0526071981535014 NA NA 0.0431226660705266 0.00572217733395103 0.0347039950335301
3 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA 0.00299701433299837 NA NA 0.0554561267454428 NA NA -0.243623653242819 -0.167405246290197 -0.132123723618196 -0.0854316217584461 -0.0446958160928027 -0.0200073456576588 -0.00778384830595068 -0.0014817127508187 0.00400352832026051 0.0149977617461026 0.0483452591823844 0.142437287807796 0.28185237369198 0.362494576947062 0.388843650637016 0.397521190557579 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.0169370778830659 0.955506520754313 0.0232072821886569 0.00434911916096403 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.00000000000099999999999041 0.0478770983849991 NA NA 0.00180779198675351 0.0282946446239228 NA NA NA NA -0.015854375682168 -0.0126689502254786 -0.00899372104927269 -0.00496514564291532 0.00226126624162936 0.0181203995874646 0.0606820909384634 0.12798377468815 NA NA NA NA 0.0499973586335726 0.0126323805010648 -0.0120707204637744 0.037335481465904 0.0403232531299902 0 0.0784622339482087 0.909704924173296 0.44935700560186 1.37005284274473 1.05976565010256 0.412679452599746 1.70685184760537 0.0372185212936138 NA 0.0782655596883251 0.0324573987748903 NA 0.0693873853770039 0.0266628006475313 NA 0.0543406539892439 0.0015677031733506 0.0467676181188397
4 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 NA NA NA NA NA 0.0131390732137973 NA NA 0.0786403976894212 NA NA -0.535564510872005 -0.487007371068409 -0.431835074380877 -0.344499749355978 -0.175107704661174 -0.0473040888017233 -0.0082766779999744 0.00440532930739783 0.0166215609074292 0.0386077094869278 0.0757800051369519 0.122006196533352 0.160524043444342 0.183021935413024 0.193520382149689 0.209530508132549 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000120878049284623 0.0060465046432697 0.00867913124195571 0.898353594328245 0.0867998917252451 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.000000000000999999999990909 0.0682310977795531 NA NA 0.0131310013982753 0.0215263297422773 NA NA NA NA -0.307376373022403 -0.0511628428312199 -0.00691956810697412 0.00442982056267109 0.0170432676894283 0.0396781030775795 0.0749983069288338 NA NA NA NA NA 0.0678300252252616 0.0205280700494979 -0.00447211677888228 0.045528256877878 0.0468721811615723 0 0.0822677938721447 0.734162381929095 0.393534967851696 1.07478979600649 0.860562315024972 0.368042164523331 1.35308246552661 0.0459120206576515 NA 0.0851898176974131 0.0405481232001951 NA 0.0761188799483362 0.0321181086328086 NA 0.0582170831696215 0.0129665333898438 0.0663312229022862
5 -0.00926504595391241 -0.0109517051669928 0.219035111696404 0.195741621360807 NA NA NA -0.355274819961092 -0.312786045568277 -0.241813725734934 -0.153962548865793 -0.0532181850606709 0.0486888510827319 0.142071989807108 0.207255015265684 0.365730614719697 NA NA NA NA -0.0106810695726606 NA NA 0.184192069775812 NA NA -0.393493979454584 -0.383353833788149 -0.36133393168624 -0.322413320574678 -0.27236646912374 -0.223176825141218 -0.167021686936124 -0.068246475168257 0.0658233094766188 0.151061290543821 0.183245641546927 0.194246595126096 0.198540193759581 0.201185463138793 0.204910299939527 0.21546770520432 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.00000000939771181785417 0.0376865445817155 0.37817371056178 0.18407969992514 0.399962113431285 0.0000979220913665464 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.000000000000999999999991746 0.192522354351902 NA NA -0.0104828823818589 -0.0405047568533239 NA NA NA -0.308297444269278 -0.269762592751508 -0.227186866964402 -0.171901414736174 -0.0655576973268269 0.0624565124402349 0.153314631846258 0.191157046915646 0.204827646537021 NA NA NA NA 0.193244653999467 -0.00131072946065389 -0.0407906736265501 0.0381692147052423 0.200451450987917 0.174244925361517 0.223607411308485 1.20085269346644 0.71722252033182 1.68448286660105 1.22090990448264 0.575740513482395 1.86607929548289 0.159461757957919 0.125203014708133 0.193014256228786 0.134715613444699 0.103550803991173 0.16592508184982 0.120597349589982 0.0978692178992753 0.141820216724202 -0.010447019444198 0.193174589932925
6 0.000734135302619875 0 0.239040892528697 0.173233399474624 NA NA -0.629487581598023 NA -0.362079468024926 -0.210720663419846 -0.118724589560958 -0.0327038413057155 0.0298387895971 0.118794292086386 0.212331511364608 0.312688538844864 0.455870192719103 NA NA NA 0.00431081850171352 NA NA 0.281256377235577 NA NA -1.00004655928453 -0.995507822534134 -0.92633579257196 -0.554935466219768 -0.334219027868672 -0.211475745953125 -0.0916997096721743 -0.0243167230084673 0.0199251514086573 0.0980872244586869 0.248620594672791 0.38584633431445 0.467466531044376 0.52529836455216 0.564169802419828 0.584816801793268 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999994701 0.000000000000999999999994701 0.000000000000999999999994701 0.00148194302636131 0.00000000607847437919748 0.000000660802280900279 0.0511074291737105 0.101099113658652 0.69509332285224 0.0775866062445063 0.0661949007306133 0.00743601742516065 0.000000000000999999999994701 0.000000000000999999999994701 0.000000000000999999999994701 0.000000000000999999999994701 0.000000000000999999999994701 0.173393480106747 NA NA 0.00499277032482935 0.0398321560127834 NA NA -0.900352701643906 NA -0.377379947005185 -0.208500247376519 -0.107832099758589 -0.0175510963826674 0.0260562667747761 0.0912126230870153 0.245207708059745 0.407503233769921 0.449058778969952 NA NA NA 0.173720260867184 0.0134887271721164 -0.0223188393128165 0.0492962936570492 0.171376909531747 0.145553328006229 0.193789367478241 0.972182069911285 0.58547140963162 1.35889273019095 1.06360162522911 0.509184091956377 1.61801915850185 0.14175785274406 0.108387546908524 0.173962378213529 0.120756928945766 0.0903061814816486 0.150808275426498 0.105768092098778 0.0837784383112957 0.125964718852552 0.00508776324919426 0.172841355598335
7 -0.00715182625648704 0 0.175821042385282 0.142062124039416 NA NA NA NA -0.406190454406457 -0.222146933347017 -0.0882862417747493 -0.0203519630343568 0.0221901050550171 0.0752789802220191 0.152941939658269 0.304000400950428 NA NA NA NA -0.0072469230564337 NA NA 0.186202952380874 NA NA -0.39879230492031 -0.395247048126957 -0.386079305123458 -0.361335791315189 -0.298741045241792 -0.186147916264628 -0.080647180928256 -0.0225981419610285 0.0142786511677362 0.067110189356816 0.169022544187361 0.288860362729059 0.357961042077152 0.384529874032786 0.393938493698994 0.397403500339752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.0374778064726428 0.109299386890504 0.735135913066703 0.0880378988907096 0.0300489946674401 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.000000000000999999999991542 0.136562972417901 NA NA -0.00668530317558282 -0.0135338488585276 NA NA NA NA -0.271989044914217 -0.195589848510996 -0.0894872548672627 -0.0176570831977902 0.0179901666773011 0.0616117861274026 0.175373393901844 0.308347972167147 NA NA NA NA 0.136627892533809 -0.0237965424519678 -0.0531443878608491 0.00555130295691342 0.125631949412432 0.097491795676022 0.148533239384996 0.778264698678548 0.435749249705523 1.12078014765157 0.689647157747503 0.303254225343364 1.07604009015164 0.0920676144242654 0.061334895544626 0.120552376671732 0.0764548526421159 0.0494090888901382 0.1022786185913 0.071526569834533 0.0498304659263465 0.0905454054388091 -0.00655476251004318 0.13525196606538
8 -0.00534556686517884 0 0.090047478823894 0.0948482057762241 NA NA NA -0.730234475455163 -0.268551168162727 -0.144764849375329 -0.0418225228266616 -0.0101901128308971 0.00648673000648101 0.0342654290169535 0.0901485562294648 NA NA NA NA NA -0.00032007996058712 NA NA 0.0917451705999797 NA NA -0.600416430665938 -0.592487415259605 -0.572682120253586 -0.502685392731027 -0.313690320627532 -0.125048250083137 -0.0440852612778197 -0.00937744443097108 0.0151317841399634 0.0458015716153487 0.0887414270035093 0.134790548134514 0.168606039131831 0.18674211510753 0.194818887767117 0.20784180661342 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.00000193595865560713 0.0044450364852521 0.00714788878237661 0.0777504377116499 0.806872754703893 0.103781946347173 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.000000000000999999999991838 0.100032252426421 NA NA -0.00019395195504243 -0.0401043856859652 NA NA NA -0.598611032083237 -0.305530963255753 -0.125974411643468 -0.0473552856745385 -0.00996632681119855 0.0196076040177037 0.0459005232017383 0.0725011937088851 NA NA NA NA NA 0.0995632397723678 -0.0183139307548921 -0.0448473113964888 0.00821944988670457 0.0890472423646187 0.0515064698774924 0.114916953954781 0.767218951218447 0.40368224842076 1.13075565401613 0.658413547080532 0.270849786762967 1.0459773073981 0.0647902701084525 0.0284255212211906 0.0947421372082011 0.0537235817577456 0.0223591319579589 0.0806495393430719 0.0504486645181015 0.0238767246650465 0.0707711946515652 -0.000193541235252583 0.0994520661183741
9 -0.00491070350615879 -0.00411015570407557 0.511553254798495 0.402865423782053 NA -1.17062829980808 -0.953218509187146 -0.74488621303773 -0.563283697886595 -0.369726109148699 -0.229467808089466 -0.12103884628517 0.0737924746011519 0.250260521273387 0.401304022449353 0.582493993206892 0.747564672136868 0.930860974855238 1.12296744855225 NA -0.00520460120304574 NA NA 0.490182326226703 NA NA -1.10259695620301 -1.04425615455531 -0.937990779821447 -0.720120012232249 -0.538170688279095 -0.400141041986187 -0.243420528887961 -0.0792089384850732 0.0860361175662845 0.240907719542781 0.390104079892804 0.543195092612932 0.672740178928913 0.777821510234336 1.1046887971641 1.40706139205245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999999615 0.000000000000999999999999615 0.00347666968500125 0.020776886817952 0.0027978544405512 0.088192129561608 0.11236820132042 0.178445208835935 0.179072177026305 0.188646257255038 0.130100009082797 0.059796181682951 0.0335012020024445 0.0000000260910781481384 0.0000000000017925850460545 0.00228544269141734 0.000541753502708754 0.402171654915899 NA NA -0.00469799268993957 -0.0254962979478844 NA -0.999265282679289 -0.970906306419681 -0.775632063735811 -0.527633329676834 -0.413245376152784 -0.24152675515342 -0.0840178130970359 0.0790385201042357 0.248572815908722 0.39241793577428 0.566129106029041 0.718021201882203 0.903310640113899 0.994057254559394 NA 0.3993509965877 -0.0101811771908417 -0.0719795297168619 0.0516171753351785 0.402136806088794 0.373363699760674 0.428984346245423 1.02643150936189 0.740280619529727 1.31258239919405 0.976445519543798 0.604240578398682 1.34865046068891 0.317187083590814 0.273206698485871 0.361727930265873 0.26748087344865 0.226806658746973 0.309406609182796 0.240576447130149 0.212351742467349 0.26805194979583 -0.00437435841214377 0.400862397718196
10 -0.00332496267083353 0 0.475856852264033 0.329074161358701 NA -1.02420838036474 -0.920219801849715 -0.663939650565809 -0.5879436055031 -0.352068623895354 -0.179997439430485 -0.046582720021292 0.0425951626281147 0.153523149880544 0.371426250982705 0.502635622400104 0.728246983094987 0.690799064384237 NA NA 0.0071697738248011 NA NA 0.488334178934837 NA NA -1.07937816758485 -0.886568563591027 -0.771913770404426 -0.707508347464968 -0.606766517746283 -0.366014151280737 -0.152452369058763 -0.0462874614264128 0.0543200962893358 0.174443347146204 0.326660941042151 0.577998792568784 0.76774928109208 0.828302954951375 0.869206055780513 0.915907636305893 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000000000000999999999997583 0.000000000000999999999997583 0.000843974048513863 0.000000000127935940039343 0.0350638001916538 0.0693772108618315 0.000473378930030127 0.219633311771967 0.333568454826852 0.188705116080544 0.0963365656099898 0.0000472662408731514 0.0515798080612525 0.00437111324355607 0.000000000000999999999997583 0.000000000000999999999997583 0.000000000000999999999997583 0.343279842501532 NA NA 0.0077804454302664 -0.00414187370116102 NA -0.869839719199643 -0.794024833817641 -0.708840647332788 -0.632225152423282 -0.380173104835467 -0.140206398616248 -0.0525830091402056 0.0590991257288078 0.182206104830738 0.339883399433968 0.587133846120142 0.815761319307219 0.859362971858239 NA NA 0.344000516347511 0.0853909173998817 0.0208631975314562 0.149918637268307 0.374471994788508 0.344852474742385 0.401914568566283 1.73586661394977 1.20938528453674 2.2623479433628 1.92795818960561 1.13986654578955 2.71604983342168 0.332021775347008 0.282872786746276 0.381648182070933 0.287067576162288 0.240536334807653 0.334847647895645 0.241541838135598 0.21167864011398 0.270363016923126 0.00757466103160488 0.343616014596171
