Rownumber,effectsize,uniquestudy,uniquesample,Year,Title,Newlink,NewPart,Complete.Task.Prior,Goal.Expectancy.Manipulated,Goal.Value.Manipulated,SocialDesirability,Funneled.Debriefing.Present,n,Proportion.of.Prime,ControlType.Binary,Source.Type.Binary,Country.Binary,Liminality.Binary,Dependent.Measure.Category.Binary,Filler.Task,PrimeContent,Preregistration,Covariates,Remove,ControlType,primed.concept,measured.behavior,moderator.level,M.Control,SD.Control,M.Prime,SD.prime,p.control,p.prime,reverse,d,c,mn,Gv
1,1,921,9211,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,0,44,1,2,1,1,1,1,0,1,0,0,0,3,professor,% of trivia questions correct,High comparison,50.7,16.7,45.2,13,NA,NA,1,-0.360927008,0.982035928,0.090909091,0.089223046
2,2,921,9211,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,0,43,1,2,1,1,1,1,0,1,0,0,0,3,professor,% of trivia questions correct,Low comparison,50.7,16.7,48.6,12.8,NA,NA,1,-0.138547022,0.981595092,0.093023256,0.089864686
3,3,922,9221,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,1,72,1,2,1,1,1,1,0,1,0,0,0,3,professor,% of trivia questions correct,na,36.6,13,30.7,9.9,NA,NA,1,-0.505135772,0.989247312,0.055555556,0.056189823
4,4,921,9211,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,0,43,1,2,1,1,1,1,0,1,0,0,0,3,Einstein,% of trivia questions correct,High comparison,50.7,16.7,48,13.5,NA,NA,1,-0.174539908,0.981595092,0.093023256,0.090002112
5,5,921,9211,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,0,42,1,2,1,1,1,1,0,1,0,0,0,3,Einstein,% of trivia questions correct,Low comparison,50.7,16.7,56.2,11.1,NA,NA,1,0.380573132,0.981132075,0.095238095,0.093488558
6,6,922,9221,2011,"""Fortunately, I'm no Einstein"": Comparison Relevance as a Determinant of Behavioral Assimilation and Contrast.",2,1,1,0,0,1,1,72,1,2,1,1,1,1,0,1,0,0,0,3,Einstein,% of trivia questions correct,na,36.6,13,38.9,12.8,NA,NA,1,0.176372128,0.989247312,0.055555556,0.05458943
8,8,1743,17431,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,50,1,1,1,1,1,2,0,1,0,1,0,1,F,# of correct anagrams,na,4.76,1.96,3.65,1.99,NA,NA,-1,0.553181739,0.984293194,0.08,0.080694252
9,9,1743,17431,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,50,1,1,1,1,1,2,0,1,0,1,0,1,A,# of correct anagrams,na,4.76,1.96,6.02,1.99,NA,NA,1,0.627936028,0.984293194,0.08,0.081613977
906,906,1743,17431,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,50,1,1,1,1,1,2,0,1,0,1,0,1,A,# of correct success-oriented anagrams,na,1.64,0.88,1.99,0.87,NA,NA,1,0.39371085,0.984293194,0.08,0.079121316
907,907,1743,17431,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,50,1,1,1,1,1,2,0,1,0,1,0,1,F,# of correct success-oriented anagrams,na,1.64,0.88,1.37,0.87,NA,NA,-1,0.303719798,0.984293194,0.08,0.07846754
904,904,1742,17421,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,22,1,1,1,1,1,2,0,1,0,1,0,1,A,Analogy performance,na,8.17,3.018128559,9.64,2.68646608,NA,NA,1,0.494967037,0.962025316,0.181818182,0.174396211
905,905,1742,17421,2010,A versus F: The effects of implicit letter priming on cognitive performance,2,1,1,0,0,1,1,21,1,1,1,1,1,2,0,1,0,1,0,1,F,Analogy performance,na,8.17,3.018128559,6.29,2.719558788,NA,NA,-1,0.628253621,0.96,0.19047619,0.185929768
10,10,2681,26811,2014,ÂçÂçSo Cute I Could Eat It UpÂçÂ±: Priming Effects of Cute Products on Indulgent Consumption,2,2,1,0,0,0,0,60,1,2,1,1,1,2,0,2,0,1,0,6,Cute,Icecream scooped,na,1.53,0.909282277,2.01,0.909282277,NA,NA,1,0.521033177,0.987012987,0.066666667,0.067286616
11,11,2751,27511,2013,ÂçÃ«I deserve a treat!ÂçÂè: Justifications for indulgence undermine the translation of intentions into action,1,1,0,0,1,0,1,41.5,1,2,1,2,1,2,0,2,0,0,1,4,Self-indulgence justification,Grams of Chocolates eaten,high intention,17.48,18.45,35.38,20.27,NA,NA,1,0.905919302,0.98089172,0.096385542,0.103125689
855,855,2751,27512,2013,ÂçÃ«I deserve a treat!ÂçÂè: Justifications for indulgence undermine the translation of intentions into action,1,1,0,0,-1,0,1,41.5,1,2,1,2,1,2,0,2,0,0,1,4,Self-indulgence justification,Grams of Chocolates eaten,low intention,32.31,27.56,23.35,24.1,NA,NA,1,-0.339494516,0.98089172,0.096385542,0.094196155
18,18,2282,22821,2009,An exploratory field experiment of the effect of subconscious and conscious goals on employee performance,1,2,0,0,0,0,1,40.5,1,2,1,2,1,1,0,1,0,0,0,3,achievement,employee performance on raising money ,Do your best,12.27,7.92,16.69,7.11,NA,NA,1,0.575788983,0.980392157,0.098765432,0.099235873
19,19,2282,22822,2009,An exploratory field experiment of the effect of subconscious and conscious goals on employee performance,1,2,0,0,0,0,1,40.5,1,2,1,2,1,1,0,1,0,0,0,3,achievement,employee performance on raising money ,Difficult,17.2,7.92,20.67,8.865,NA,NA,1,0.404716346,0.980392157,0.098765432,0.097057462
20,20,2281,22811,2009,An exploratory field experiment of the effect of subconscious and conscious goals on employee performance,1,2,0,0,0,0,0,34.66666666,1,2,1,2,1,1,0,1,0,0,0,3,achievement,# of uses for coat hanger,na,2.92,1.47,4.22,1.63,NA,NA,1,0.818215989,0.976863753,0.115384615,0.120354348
