"" "" "" "" "" "" "ODR" "ERR" "EDR" "FDR" "FIT" "ODR" "ERR" "EDR" "FDR" "FIT"
"res.run" 1 0 0 1 0.979796953754605 0.979806650382878 0.97928 0.979526617804082 0.979466371799351 0 0.00435704012950298 0.97928 0.979303920734641 0.970952059735078 0 -60668.8663266615
"res.run" 2 0 0.1 0.9 0.934366653973965 0.954714688106909 0.93248 0.954340519798465 0.936235505017451 0 0.00582204109620313 0.93248 0.95323453757076 0.932647802831838 0 -59036.0731477046
"res.run" 3 0 0.2 0.8 0.888725835232036 0.926923387140149 0.88748 0.926151040358572 0.887546301281844 0.01 0.00584876614661308 0.88748 0.92523532730423 0.885012622159878 0.01 -56793.8590354748
"res.run" 4 0 0.3 0.7 0.842874497528817 0.895973424211694 0.83792 0.89479992569295 0.841215045443438 0.01 0.00603251357403249 0.83792 0.893519079399177 0.831486116549876 0.01 -54059.0855710561
"res.run" 5 0 0.4 0.6 0.79681264086431 0.861294987463968 0.79522 0.860590312835125 0.796510682338461 0.01 0.00541471676363188 0.79522 0.859370040076963 0.794747265804604 0.01 -51328.2267569506
"res.run" 6 0 0.5 0.5 0.750540265238513 0.822172428836171 0.74818 0.819469415746459 0.739369305260719 0.02 0.00575978915848107 0.74818 0.818576997293272 0.731546478971967 0.02 -47927.5134662365
"res.run" 7 0 0.6 0.4 0.704057370651426 0.777694418685509 0.7045 0.775338072540018 0.702085812288829 0.02 0.0065598297986278 0.7045 0.774049925591452 0.700413439349064 0.02 -44216.6669587178
"res.run" 8 0 0.7 0.3 0.657363957103051 0.726682156362924 0.65364 0.723098307239817 0.65445414771605 0.03 0.00567580910309692 0.65364 0.722851283276259 0.649653187243561 0.03 -39185.2482994643
"res.run" 9 0 0.8 0.2 0.610460024593386 0.667583473464362 0.61074 0.664275147833837 0.58404629338788 0.04 0.00691405849045372 0.61074 0.664150927051067 0.60116287625465 0.03 -34127.8867590185
"res.run" 10 0 0.9 0.1 0.563345573122432 0.598312298826934 0.5606 0.595643296296199 0.506346092309325 0.05 0.00713648868874043 0.5606 0.595649044385747 0.533104068080013 0.05 -27493.4527487091
"res.run" 11 0 1 0 0.516020602690189 0.515997501366762 0.51402 0.505363041121932 0.407923714641488 0.08 0.00836591425412145 0.51402 0.507855302959522 0.470377434841569 0.06 -19032.6905754693
"res.run" 12 0.1 0 0.9 0.88872006570524 0.974543748081562 0.88832 0.974258410232919 0.952492302437251 0 0.00543965271852934 0.88832 0.973627590314255 0.923704745385414 0 -55208.4979530433
"res.run" 13 0.1 0.1 0.8 0.842973231003196 0.946368550913324 0.83962 0.948879517578304 0.883428680279738 0.01 0.00553721551567755 0.83962 0.947373065166363 0.842492342906843 0.01 -53294.9091066317
"res.run" 14 0.1 0.2 0.7 0.797015877339863 0.91480652087591 0.79518 0.916081191686823 0.822655643341187 0.01 0.00564948499781167 0.79518 0.914645445578477 0.790481768329369 0.01 -50901.2713546605
"res.run" 15 0.1 0.3 0.6 0.750848004715241 0.879209214020368 0.74712 0.879961287137233 0.808885591932924 0.01 0.00656469007160905 0.74712 0.878169439210092 0.793593369687568 0.01 -48250.3106032217
"res.run" 16 0.1 0.4 0.5 0.704469613129329 0.838751353923427 0.70206 0.841382616468734 0.768748385775175 0.02 0.00502959724383892 0.70206 0.839487895496869 0.745980981402295 0.02 -45077.6232485104
"res.run" 17 0.1 0.5 0.4 0.657880702582128 0.792366143273726 0.65552 0.786767557473412 0.667559821830364 0.03 0.00474994096309658 0.65552 0.785852117074352 0.65618850120115 0.03 -41349.8581303172
"res.run" 18 0.1 0.6 0.3 0.611081273073639 0.738649936842808 0.61042 0.739292249773039 0.575774853053023 0.04 0.00606803155194057 0.61042 0.735533411256168 0.615586276403373 0.03 -37116.8116151154
"res.run" 19 0.1 0.7 0.2 0.564071324603859 0.67571789479847 0.56388 0.668671561865853 0.541126707184412 0.04 0.00597483973377121 0.56388 0.669578034678314 0.540450930241043 0.04 -32031.5349510384
"res.run" 20 0.1 0.8 0.1 0.516850857172791 0.600978451280545 0.51586 0.602187726037299 0.403077031083519 0.08 0.00837135276828356 0.51586 0.599880295822015 0.445609796036044 0.07 -25612.4618846608
"res.run" 21 0.1 0.9 0 0.469419870780433 0.51076781749931 0.46412 0.505737744369297 0.367396886506169 0.09 0.0111629049839508 0.46412 0.506694251197645 0.407714380647742 0.08 -17175.820686865
"res.run" 22 0.2 0 0.8 0.797220331604237 0.968045783947674 0.79124 0.968992475007534 0.8087925021071 0.01 0.00643258196727333 0.79124 0.967236682027775 0.787704464054018 0.01 -49307.1633880099
"res.run" 23 0.2 0.1 0.7 0.751156961980789 0.935939306521807 0.7484 0.939467233077391 0.697911289798866 0.02 0.00637058418342505 0.7484 0.937032376245802 0.691569874712731 0.02 -47609.1010073057
"res.run" 24 0.2 0.2 0.6 0.704883073396052 0.899459911446839 0.70106 0.900017305554693 0.761887425783789 0.02 0.00763687918352759 0.70106 0.898132045875016 0.743899360006818 0.02 -45188.0432158804
"res.run" 25 0.2 0.3 0.5 0.658398665850026 0.857650588087702 0.65688 0.852534990849485 0.686731879748177 0.02 0.00422588572731601 0.65688 0.851938215333498 0.599547172985151 0.04 -42390.3679690724
"res.run" 26 0.2 0.4 0.4 0.611703739342711 0.809253079232398 0.60624 0.806159062278307 0.685445867339657 0.02 0.00434874077725009 0.60624 0.804990641175765 0.644860177458944 0.03 -38744.5708331034
"res.run" 27 0.2 0.5 0.3 0.564798293874107 0.752579224164258 0.56526 0.752628246785019 0.654310027491352 0.03 0.00615650841955189 0.56526 0.751699815953374 0.630218062563029 0.03 -34952.2859201497
"res.run" 28 0.2 0.6 0.2 0.517682329444213 0.685310207244957 0.51362 0.680032292462658 0.477439233645914 0.06 0.00660818000524692 0.51362 0.677953127012026 0.521579325957196 0.05 -29606.1147626621
"res.run" 29 0.2 0.7 0.1 0.47035584605303 0.604171724497292 0.46866 0.598320585961474 0.398477402640902 0.08 0.00932310608839433 0.46866 0.595608147624606 0.471108420163897 0.06 -23715.5305262503
"res.run" 30 0.2 0.8 0 0.422818843700558 0.504385316470038 0.42394 0.496738356888778 0.356124176854676 0.1 0.00925771675267664 0.42394 0.497459375345621 0.420746510844797 0.07 -15476.6184988607
"res.run" 31 0.3 0 0.7 0.705297751451596 0.959820389470816 0.70054 0.957828980194996 0.715713827937558 0.02 0.00646125740693816 0.70054 0.956050947358332 0.67077011641086 0.03 -43993.9825829726
"res.run" 32 0.3 0.1 0.6 0.658917846906745 0.922536071053802 0.65214 0.919956798352691 0.777090077275992 0.02 0.00711857182841175 0.65214 0.918113079909196 0.749955763802119 0.02 -41916.5670576662
"res.run" 33 0.3 0.2 0.5 0.612327423400604 0.879393892367107 0.6086 0.875843517419355 0.736137333188381 0.02 0.00643846419089599 0.6086 0.873964498371752 0.724766321723802 0.02 -39374.3259346853
"res.run" 34 0.3 0.3 0.4 0.565526480933175 0.828897889312018 0.56134 0.818403873301018 0.643211543670412 0.03 0.00657090269316711 0.56134 0.818030733027271 0.572829618637989 0.04 -36069.7902766861
