"" "" "" "" "" "" "Estimate" "l.CI" "u.CI" "res.text" "2.5%" "97.5%" "" "" ""
"res.run" 1 0 0 1 0.979796953754605 0.979806650382878 0.978463520943565 0.943378041923887 1 0.981 0.949 1 0.98 0.979105379250186 0.980798424808635
"res.run" 2 0 0.1 0.9 0.934366653973965 0.954714688106909 0.960599132324915 0.921982818423222 0.995836818707471 0.98 0.945 1 0.97 0.974303717626681 0.976348797966099
"res.run" 3 0 0.2 0.8 0.888725835232036 0.926923387140149 0.920725886968754 0.882681573933496 0.957537068070798 0.97 0.935 1 0.97 0.966901369779711 0.96945935027194
"res.run" 4 0 0.3 0.7 0.842874497528817 0.895973424211694 0.911623151676339 0.872384150801398 0.951632359761393 0.956 0.923 0.989 0.96 0.961939021485479 0.964837831240412
"res.run" 5 0 0.4 0.6 0.79681264086431 0.861294987463968 0.870946317828143 0.82931814505506 0.912072723486617 0.923 0.885 0.961 0.95 0.946754243304219 0.950663849134088
"res.run" 6 0 0.5 0.5 0.750540265238513 0.822172428836171 0.824058478188484 0.784150744611584 0.866355519837805 0.861 0.813 0.905 0.93 0.928014368141225 0.933113604166181
"res.run" 7 0 0.6 0.4 0.704057370651426 0.777694418685509 0.784474926613482 0.741548243783325 0.825611442773357 0.773 0.717 0.823 0.91 0.901961324202973 0.908614813074207
"res.run" 8 0 0.7 0.3 0.657363957103051 0.726682156362924 0.72665023790259 0.685878308916278 0.770377147549722 0.647 0.596 0.7 0.86 0.852974089079679 0.862408117406426
"res.run" 9 0 0.8 0.2 0.610460024593386 0.667583473464362 0.669637044178858 0.62977283892046 0.713097481082539 0.539 0.491 0.59 0.8 0.793758229829118 0.806198670480283
"res.run" 10 0 0.9 0.1 0.563345573122432 0.598312298826934 0.596400918507266 0.553513690973468 0.638642960383366 0.417 0.353 0.487 0.69 0.680246596453356 0.697494807299829
"res.run" 11 0 1 0 0.516020602690189 0.515997501366762 0.517356009091468 0.474188744052141 0.557678642831187 0.516 0.365 0.549 0.52 0.504325431315217 0.526621168259548
"res.run" 12 0.1 0 0.9 0.88872006570524 0.974543748081562 0.973252750736686 0.938232507033364 1 0.979 0.948 1 0.98 0.977679819474857 0.979477662050138
"res.run" 13 0.1 0.1 0.8 0.842973231003196 0.946368550913324 0.942047382262374 0.904919610509566 0.980352777239262 0.98 0.941 1 0.97 0.970059791643383 0.972413917347038
"res.run" 14 0.1 0.2 0.7 0.797015877339863 0.91480652087591 0.921995043797124 0.880748266516683 0.960388746039394 0.964 0.93 0.998 0.97 0.966142783585762 0.968755471638889
"res.run" 15 0.1 0.3 0.6 0.750848004715241 0.879209214020368 0.86830561012858 0.830127353360421 0.909210654470661 0.936 0.899 0.973 0.95 0.952708841960002 0.956231485766056
"res.run" 16 0.1 0.4 0.5 0.704469613129329 0.838751353923427 0.836670265743424 0.798902681852628 0.875779094147691 0.889 0.845 0.931 0.94 0.937129237531587 0.941656968297482
"res.run" 17 0.1 0.5 0.4 0.657880702582128 0.792366143273726 0.800228120573053 0.760044103932877 0.845056286541588 0.814 0.758 0.863 0.92 0.913330211475182 0.919333089523321
"res.run" 18 0.1 0.6 0.3 0.611081273073639 0.738649936842808 0.740331810281722 0.698195650206074 0.784009713338589 0.684 0.631 0.738 0.88 0.872868860890892 0.881229336407053
"res.run" 19 0.1 0.7 0.2 0.564071324603859 0.67571789479847 0.669488300588034 0.625935637721145 0.71457098863797 0.545 0.502 0.59 0.81 0.80095915333051 0.81306313187096
"res.run" 20 0.1 0.8 0.1 0.516850857172791 0.600978451280545 0.611145734569086 0.566318343605719 0.656627908633781 0.426 0.364 0.494 0.7 0.696055319599719 0.712699387134261
"res.run" 21 0.1 0.9 0 0.469419870780433 0.51076781749931 0.51610008835332 0.473150325290423 0.556471209167177 0.468 0.373 0.545 0.51 0.500060824615707 0.522438423633845
"res.run" 22 0.2 0 0.8 0.797220331604237 0.968045783947674 0.966393726442457 0.930364552769352 1 0.978 0.946 1 0.98 0.975861620770614 0.977792579754535
"res.run" 23 0.2 0.1 0.7 0.751156961980789 0.935939306521807 0.939399719795305 0.902875808766815 0.978572864746657 0.979 0.941 1 0.97 0.970332534943096 0.97266766760451
"res.run" 24 0.2 0.2 0.6 0.704883073396052 0.899459911446839 0.904632270230152 0.864928182032184 0.946361423831823 0.958 0.925 0.992 0.96 0.961657965421909 0.964577936576956
"res.run" 25 0.2 0.3 0.5 0.658398665850026 0.857650588087702 0.859776261262031 0.818601303318734 0.902480568353728 0.919 0.879 0.957 0.95 0.944762786210362 0.94880450973766
"res.run" 26 0.2 0.4 0.4 0.611703739342711 0.809253079232398 0.806801250550653 0.766811059813053 0.849591451560054 0.843 0.792 0.891 0.93 0.924854714909353 0.930155140984562
"res.run" 27 0.2 0.5 0.3 0.564798293874107 0.752579224164258 0.759409447805994 0.718407874805261 0.803164199927775 0.719 0.666 0.773 0.9 0.891586620876556 0.898891476180795
"res.run" 28 0.2 0.6 0.2 0.517682329444213 0.685310207244957 0.689865786288146 0.645527755344672 0.735029232603828 0.585 0.541 0.63 0.83 0.828353971681683 0.839091654460351
"res.run" 29 0.2 0.7 0.1 0.47035584605303 0.604171724497292 0.604601433878246 0.560983807867225 0.646965839760784 0.416 0.364 0.484 0.71 0.698746215673682 0.715343795161916
"res.run" 30 0.2 0.8 0 0.422818843700558 0.504385316470038 0.51877049662867 0.475261253398027 0.558936063421336 0.516 0.35 0.541 0.51 0.497709544859156 0.520128637772683
"res.run" 31 0.3 0 0.7 0.705297751451596 0.959820389470816 0.958225280330474 0.921695762945957 0.994295095967737 0.978 0.946 1 0.98 0.975221021255191 0.977200146201807
"res.run" 32 0.3 0.1 0.6 0.658917846906745 0.922536071053802 0.91459015112201 0.877068104825437 0.956057117451513 0.972 0.937 1 0.97 0.968228871628014 0.970706005616768
"res.run" 33 0.3 0.2 0.5 0.612327423400604 0.879393892367107 0.877845631537037 0.840834576251604 0.918091679012155 0.944 0.909 0.98 0.96 0.955597312776872 0.958927892542361
"res.run" 34 0.3 0.3 0.4 0.565526480933175 0.828897889312018 0.836121660795168 0.796534762405161 0.883156789589124 0.895 0.853 0.936 0.94 0.935206411074989 0.939855922430107
"res.run" 35 0.3 0.4 0.3 0.518515019504456 0.768995298146231 0.779009908932678 0.737476589747929 0.822365719385194 0.77 0.716 0.824 0.9 0.900661594593196 0.907432590182897
"res.run" 36 0.3 0.5 0.2 0.471293039114448 0.696790925979135 0.694256500975351 0.653265237779961 0.737299961039271 0.602 0.561 0.648 0.85 0.840073947568567 0.850205866479376
"res.run" 37 0.3 0.6 0.1 0.423860539763151 0.608065591301394 0.611766996549973 0.568309145426685 0.657694525129436 0.425 0.38 0.475 0.73 0.720502906304837 0.736257675418021
"res.run" 38 0.3 0.7 0 0.376217521450564 0.496421594406426 0.489655667566299 0.44395369426483 0.535644063196533 0.441 0.302 0.524 0.48 0.467676706574083 0.490679412081831
"res.run" 39 0.4 0 0.6 0.612952325247317 0.949073369459682 0.946838955478613 0.91090888429352 0.983495215855396 0.98 0.946 1 0.97 0.974190867027425 0.976246652733298
"res.run" 40 0.4 0.1 0.5 0.566255885781063 0.9046754913962 0.910088011644882 0.872562280240383 0.951966591575091 0.968 0.932 1 0.97 0.96513722667354 0.967819730470976
